order_completed_at,unique_order_count,year,month,day,dayofweek_num,midmonth,payday,double_date
2024-04-18,145,2024,4,18,3,0,0,0
2024-04-19,143,2024,4,19,4,0,0,0
2024-04-20,119,2024,4,20,5,0,0,0
2024-04-21,118,2024,4,21,6,0,0,0
2024-04-22,130,2024,4,22,0,0,0,0
2024-04-23,129,2024,4,23,1,0,0,0
2024-04-24,148,2024,4,24,2,0,0,0
2024-04-25,175,2024,4,25,3,0,1,0
2024-04-26,144,2024,4,26,4,0,1,0
2024-04-27,115,2024,4,27,5,0,1,0
2024-04-28,137,2024,4,28,6,0,1,0
2024-04-29,126,2024,4,29,0,0,1,0
2024-04-30,137,2024,4,30,1,0,1,0
2024-05-01,127,2024,5,1,2,0,0,0
2024-05-02,183,2024,5,2,3,0,0,0
2024-05-03,142,2024,5,3,4,0,0,0
2024-05-04,139,2024,5,4,5,0,0,0
2024-05-05,187,2024,5,5,6,0,0,1
2024-05-06,133,2024,5,6,0,0,0,0
2024-05-07,155,2024,5,7,1,0,0,0
2024-05-08,154,2024,5,8,2,0,0,0
2024-05-09,145,2024,5,9,3,0,0,0
2024-05-10,123,2024,5,10,4,0,0,0
2024-05-11,136,2024,5,11,5,0,0,0
2024-05-12,114,2024,5,12,6,0,0,0
2024-05-13,129,2024,5,13,0,0,0,0
2024-05-14,128,2024,5,14,1,0,0,0
2024-05-15,116,2024,5,15,2,1,0,0
2024-05-16,112,2024,5,16,3,0,0,0
2024-05-17,126,2024,5,17,4,0,0,0
2024-05-18,130,2024,5,18,5,0,0,0
2024-05-19,124,2024,5,19,6,0,0,0
2024-05-20,157,2024,5,20,0,0,0,0
2024-05-21,113,2024,5,21,1,0,0,0
2024-05-22,131,2024,5,22,2,0,0,0
2024-05-23,132,2024,5,23,3,0,0,0
2024-05-24,116,2024,5,24,4,0,0,0
2024-05-25,131,2024,5,25,5,0,1,0
2024-05-26,118,2024,5,26,6,0,1,0
2024-05-27,98,2024,5,27,0,0,1,0
2024-05-28,160,2024,5,28,1,0,1,0
